,Unnamed: 0,sun_class,dataset_size,occurances_of_class,model_name,dataset,depth,mAP
96,96.0,bed,917.0,120.0,plain_0005.h5,val,0.0,0.4773809533566237
97,97.0,tool,917.0,2.0,plain_0005.h5,val,0.0,0.0
98,98.0,desk,917.0,152.0,plain_0005.h5,val,0.0,0.0
99,99.0,chair,917.0,579.0,plain_0005.h5,val,0.0,0.3979282034920576
100,100.0,table,917.0,444.0,plain_0005.h5,val,0.0,0.1794446235293293
101,101.0,wardrobe,917.0,59.0,plain_0005.h5,val,0.0,0.025423728813559324
102,102.0,sofa,917.0,179.0,plain_0005.h5,val,0.0,0.06589881289105176
103,103.0,bookcase,917.0,397.0,plain_0005.h5,val,0.0,0.12183839144336885
104,104.0,bed,1840.0,229.0,depth_best.h5,test,0.0,0.3799126641946849
105,105.0,chair,1840.0,1223.0,depth_best.h5,test,0.0,0.4018121315326054
106,106.0,table,1840.0,1133.0,depth_best.h5,test,0.0,0.3237264745461306
107,107.0,sofa,1840.0,347.0,depth_best.h5,test,0.0,0.12180709990240655
108,108.0,bookcase,1840.0,848.0,depth_best.h5,test,0.0,0.14678591950108305
109,,,,,,,,
